category,title,authors,venue,link
Patents,Apparatus and Method for Predicting Air Traffic Controller Workload,",","Chaudhuri, T., Zhang, S., Zhang, Y., Nagavarapu, S.C. and Jaya, S. (patent filed, pending grant). Objective: Proposes a data-driven approach for real-time prediction of air traffic controller workload (ATCO Workload).",
Journals,Multi-Robot Graph Exploration and Map Building with Collision Avoidance: A Decentralized Approach,[,"doi ], Nagavarapu, S.C. , Vachhani, L. and Sinha, A. Journal of Intelligent & Robotic Systems, vol. 83, no. 3, pp. 503-523, 2016.",http://link.springer.com/article/10.1007/s10846-015-0309-9
Journals,Generalizing Multi-Agent Graph Exploration Techniques,[,"doi ]  [ read-only pdf ], Nagavarapu, S.C. , Vachhani, L., Sinha, A. and Buruily, S. International Journal of Control, Automation, and Systems, vol. 19, no. 1, pp. 491-504, 2021.",https://link.springer.com/article/10.1007/s12555-019-0067-8
Journals,CubeSats for Space Debris Removal from LEO: Prototype Design of a Robotic Arm-based Deorbiter CubeSat,[,"doi ], Nagavarapu, S.C. , Mogan, L.B., Chandran, A., and Hastings, D.E. Advances in Space Research, vol. 75, no. 9, pp. 6896-6910, 2025.",https://www.sciencedirect.com/science/article/abs/pii/S0273117724008123
Journals,A Generic GPU-Accelerated Framework for the Dial-A-Ride Problem,[,"doi ], Pandi, R.R., Ho, S.G., Nagavarapu, S.C. and Dauwels, J. IEEE Transactions on Intelligent Transportation Systems, vol. 22, no. 10, pp. 6473-6488, 2021.",https://ieeexplore.ieee.org/document/9095251
Journals,Disruption Management for Dial-A-Ride Systems,[,"doi ], Pandi, R.R., Ho, S.G., Nagavarapu, S.C. , Tripathy, T. and Dauwels, J. IEEE Intelligent Transportation Systems Magazine, vol. 12, no. 4, pp. 219-234, 2020.",https://ieeexplore.ieee.org/document/9186274
Journals,An Improved Tabu Search Heuristic for Static Dial-A-Ride Problem,[,"arXiv preprint ], Ho, S.G., Nagavarapu, S.C. , Pandi, R.R., Azizian, K. and Dauwels, J. (arXiv preprint available).",https://arxiv.org/abs/1801.09547
Book Chapters,Enhancing Autonomous Vehicle Navigation Through Computer Vision: Techniques for Lane Marker Detection and Rain Removal,[,"doi ], Nagavarapu, S.C. , Abraham, A., Li, S. and Dauwels, J. Internet of Vehicles and Computer Vision Solutions for Smart City Transformations. Lecture Notes in Intelligent Transportation and Infrastructure (LNITI). Springer, Cham, pp. 167–191, 2025.",https://link.springer.com/chapter/10.1007/978-3-031-72959-1_8
Book Chapters,Solving Dial-A-Ride Problems using Multiple Ant Colony System with Fleet Size Minimisation,[,"doi ], Tripathy, T., Nagavarapu, S.C. , Azizian, K., Pandi, R.R. and Dauwels, J. Advances in Computational Intelligence Systems (ACIS), pp. 325-336, vol. 650, 2018.",https://doi.org/10.1007/978-3-319-66939-7_28
Book Chapters,Transforming Public Safety and QoL in Smart Cities: Automated Event Detection and Response Generation with AI and IoT,[,"doi ], Pargi, M.K., Abraham, A. and Nagavarapu, S.C. Internet of Vehicles and Computer Vision Solutions for Smart City Transformations. Lecture Notes in Intelligent Transportation and Infrastructure (LNITI). Springer, Cham, pp. 267–290, 2025.",https://link.springer.com/chapter/10.1007/978-3-031-72959-1_12
